id,name,lat,lon,category,subcategory,neighborhood,address,summary,price_range,kid_friendly,visited,rating,website,google_maps_url,tags,notes
sounds-of-the-universe,Sounds of the Universe,,,attractions,landmark,,,,,,,,,,source:UK 2023,Google rating: 4.6/5 (594 reviews)
river-otter-beaver-walk-otterton,River Otter beaver walk (Otterton),,,day-trips,countryside,,,,,,,,,,source:UK 2023,Google rating: 5.0/5 (7 reviews)
50-the-marlowes,50 The Marlowes,,,attractions,landmark,,London NW8 6NA United Kingdom,,,,,,,,source:UK 2023,
harry-potter-shop-king-s-cross,Harry Potter Shop King's Cross,,,attractions,landmark,,,,,,,,,,source:UK 2023,"Google rating: 4.3/5 (34,449 reviews)"
the-sherlock-holmes-museum,The Sherlock Holmes Museum,,,attractions,museum,,,,,,,,,,source:UK 2023,"Google rating: 4.3/5 (21,447 reviews)"
the-town-mill,The Town Mill,,,attractions,landmark,,,,,,,,,,source:UK 2023,Google rating: 4.7/5 (845 reviews)
st-michael-s-church,St Michael’s Church,,,historic-sites,medieval,,,,,,,,,,source:UK 2023,Google rating: 4.6/5 (25 reviews)
xtreme-falconry-at-dorset-falconry-park,Xtreme Falconry at Dorset Falconry Park,,,attractions,landmark,,,,,,,,,,source:UK 2023,Google rating: 4.9/5 (482 reviews)
221b-baker-st,221B Baker St,,,attractions,landmark,,London NW1 6XE United Kingdom,,,,,,,,source:UK 2023,
the-gurkha-museum,The Gurkha Museum,,,attractions,landmark,,,,,,,,,,source:UK 2023,Google rating: 4.7/5 (240 reviews)
the-agc-museum,The AGC Museum,,,attractions,museum,,,,,,,,,,source:UK 2023,Google rating: 4.3/5 (8 reviews)
the-rifleman-s-museum,The Rifleman's Museum,,,attractions,museum,,,,,,,,,,source:UK 2023,Google rating: 4.8/5 (259 reviews)
memorial-to-a-a-milne,Memorial to A.A.Milne,,,historic-sites,memorial,,,,,,,,,,source:UK 2023,Google rating: 4.6/5 (120 reviews)
st-nicholas-church-graveyard,St Nicholas' Church Graveyard,,,historic-sites,memorial,,,,,,,,,,source:UK 2023,Google rating: 4.6/5 (11 reviews)
fish-n-fritz,Fish 'n' Fritz,,,restaurants,restaurant,,,,$$,,,,,,source:UK 2023,"Google rating: 4.4/5 (1,122 reviews)"
callaway-s-fish-chips,Callaway's Fish & Chips,,,restaurants,restaurant,,,,$,,,,,,source:UK 2023,Google rating: 4.7/5 (377 reviews)
the-british-museum,The British Museum,,,attractions,museum,,,,,,,,,,source:UK 2023,"Google rating: 4.7/5 (170,980 reviews)"
peter-pan-statue,Peter Pan statue,,,attractions,landmark,,,,,,,,,,source:UK 2023,"Google rating: 4.5/5 (1,953 reviews)"
pooh-car-park,Pooh Car Park,,,attractions,park,,,,,,,,,,source:UK 2023,Google rating: 4.3/5 (224 reviews)
piglet-s-house,Piglet's House,,,attractions,landmark,,,,,,,,,,source:UK 2023,Google rating: 4.8/5 (42 reviews)
winnie-the-pooh-house,Winnie The Pooh House,,,attractions,landmark,,,,,,,,,,source:UK 2023,Google rating: 4.6/5 (82 reviews)
diddly-squat-farm-shop,Diddly Squat Farm Shop,,,restaurants,market,,,,,,,,,,source:UK 2023,"Google rating: 4.4/5 (7,858 reviews)"
national-museum-of-the-royal-navy,National Museum of the Royal Navy,,,attractions,museum,,,,,,,,,,source:UK 2023,Google rating: 4.6/5 (998 reviews)
royal-hampshire-regiment-museum,Royal Hampshire Regiment Museum,,,attractions,museum,,,,,,,,,,source:UK 2023,Google rating: 4.7/5 (123 reviews)
national-army-museum,National Army Museum,,,attractions,museum,,,,,,,,,,source:UK 2023,"Google rating: 4.5/5 (2,782 reviews)"
harbour-stores,Harbour Stores,,,attractions,landmark,,,,,,,,,,source:UK 2023,Google rating: 5.0/5 (2 reviews)
baboo-gelato-cobb-lyme-regis,Baboo Gelato Cobb Lyme Regis,,,restaurants,ice-cream,,,,,,,,,,source:UK 2023,Google rating: 4.7/5 (125 reviews)
the-tank-museum,The Tank Museum,,,attractions,museum,,,,,,,,,,source:UK 2023,"Google rating: 4.9/5 (15,956 reviews)"
national-trust-petworth-house-and-park,National Trust - Petworth House and Park,,,attractions,park,,,,$$,,,,,,source:UK 2023,"Google rating: 4.6/5 (4,836 reviews)"
the-bear-inn,The Bear Inn,,,restaurants,pub,,,,,,,,,,source:UK 2023,Google rating: 4.3/5 (650 reviews)
pooh-corner,Pooh Corner,,,restaurants,cafe,,,,,,,,,,source:UK 2023,"Google rating: 4.6/5 (1,639 reviews)"
pooh-sticks-bridge,Pooh Sticks Bridge,,,attractions,landmark,,,,,,,,,,source:UK 2023,Google rating: 4.5/5 (942 reviews)
titanic-s-plaque,Titanic's Plaque,,,historic-sites,memorial,,,,,,,,,,source:UK 2023,Google rating: 4.1/5 (19 reviews)
national-trust-bateman-s,National Trust - Bateman's,,,attractions,museum,,,,$$,,,,,,source:UK 2023,"Google rating: 4.7/5 (3,239 reviews)"
rochester-castle,Rochester Castle,,,historic-sites,castle,,,,,,,,,,source:UK 2023,"Google rating: 4.6/5 (9,085 reviews)"
tintagel-castle,Tintagel Castle,,,historic-sites,castle,,,,,,,,,,source:UK 2023,"Google rating: 4.6/5 (18,201 reviews)"
battle-of-britain-bunker,Battle of Britain Bunker,,,attractions,museum,,,,,,,,,,source:UK 2023,"Google rating: 4.8/5 (1,626 reviews)"
battle-of-britain-memorial,Battle of Britain Memorial,,,historic-sites,memorial,,,,,,,,,,source:UK 2023,"Google rating: 4.8/5 (3,076 reviews)"
royal-engineers-museum,Royal Engineers Museum,,,attractions,museum,,,,,,,,,,source:UK 2023,Google rating: 4.7/5 (996 reviews)
chalice-well,Chalice Well,,,attractions,garden,,,,,,,,,,source:UK 2023,"Google rating: 4.7/5 (2,749 reviews)"
national-trust-glastonbury-tor,National Trust - Glastonbury Tor,,,historic-sites,memorial,,,,$$,,,,,,source:UK 2023,"Google rating: 4.8/5 (4,412 reviews)"
glastonbury-abbey,Glastonbury Abbey,,,attractions,landmark,,,,,,,,,,source:UK 2023,"Google rating: 4.6/5 (6,207 reviews)"
kingston-russell-stone-circle,Kingston Russell Stone Circle,,,historic-sites,memorial,,,,,,,,,,source:UK 2023,Google rating: 4.2/5 (40 reviews)
abbotsbury-swannery,Abbotsbury Swannery,,,attractions,landmark,,,,,,,,,,source:UK 2023,"Google rating: 4.7/5 (1,703 reviews)"
bletchley-park,Bletchley Park,,,historic-sites,memorial,,,,,,,,,,source:UK 2023,"Google rating: 4.7/5 (17,151 reviews)"
chesil-beach-west,Chesil Beach (West),,,attractions,landmark,,,,,,,,,,source:UK 2023,Google rating: 4.7/5 (45 reviews)
mountfitchet-castle-norman-village-cm248ly,"Mountfitchet Castle & Norman Village , CM248LY",,,attractions,landmark,,,,,,,,,,source:UK 2023,"Google rating: 4.6/5 (1,718 reviews)"
jane-austen-s-house,Jane Austen's House,,,attractions,museum,,,,,,,,,,source:UK 2023,"Google rating: 4.6/5 (1,953 reviews)"
highclere-castle,Highclere Castle,,,historic-sites,castle,,,,,,,,,,source:UK 2023,"Google rating: 4.6/5 (6,186 reviews)"
wolvesey-castle-old-bishop-s-palace,Wolvesey Castle (Old Bishop's Palace),,,historic-sites,castle,,,,,,,,,,source:UK 2023,"Google rating: 4.4/5 (1,028 reviews)"
st-catherine-s-hill,St. Catherine's Hill,,,attractions,landmark,,,,,,,,,,source:UK 2023,Google rating: 4.7/5 (824 reviews)
dinosaurland-fossil-museum,Dinosaurland Fossil Museum,,,attractions,museum,,,,,,,,,,source:UK 2023,"Google rating: 4.6/5 (1,110 reviews)"
lyme-regis-fossil-beach-ammonite-pavement,Lyme Regis Fossil Beach (Ammonite Pavement),,,attractions,landmark,,,,,,,,,,source:UK 2023,Google rating: 4.7/5 (648 reviews)
bosworth-battlefield-heritage-centre,Bosworth Battlefield Heritage Centre,,,attractions,museum,,,,,,,,,,source:UK 2023,"Google rating: 4.6/5 (2,286 reviews)"
cheltenham-model-centre,Cheltenham Model Centre,,,attractions,landmark,,,,,,,,,,source:UK 2023,Google rating: 4.6/5 (250 reviews)
rigsby-s-ln,Rigsby's Ln,,,attractions,landmark,,Cirencester GL7 6FJ United Kingdom,,,,,,,,source:UK 2023,
corinium-museum,Corinium Museum,,,attractions,museum,,,,,,,,,,source:UK 2023,"Google rating: 4.7/5 (1,144 reviews)"
sally-lunn-s-historic-eating-house-museum,Sally Lunn’s Historic Eating House & Museum,,,restaurants,restaurant,,,,$$,,,,,,source:UK 2023,"Google rating: 4.4/5 (6,016 reviews)"
the-jane-austen-centre,The Jane Austen Centre,,,attractions,landmark,,,,,,,,,,source:UK 2023,"Google rating: 4.2/5 (4,456 reviews)"
cleveland-pools,Cleveland Pools,,,attractions,landmark,,,,,,,,,,source:UK 2023,Google rating: 4.1/5 (38 reviews)
cheddar-gorge-cheese-company,Cheddar Gorge Cheese Company,,,restaurants,market,,,,,,,,,,source:UK 2023,Google rating: 4.5/5 (656 reviews)
herschel-museum-of-astronomy,Herschel Museum of Astronomy,,,attractions,museum,,,,,,,,,,source:UK 2023,Google rating: 4.5/5 (575 reviews)
clarence-pier,Clarence Pier,,,kid-friendly,theme-park,,,,,,,,,,source:UK 2023,"Google rating: 4.2/5 (4,535 reviews)"
the-d-day-story,The D-Day Story,,,attractions,museum,,,,,,,,,,source:UK 2023,"Google rating: 4.7/5 (2,608 reviews)"
hms-victory,HMS Victory,,,attractions,museum,,,,,,,,,,source:UK 2023,"Google rating: 4.8/5 (8,362 reviews)"
cotswold-falconry-centre,Cotswold Falconry Centre,,,day-trips,countryside,,,,,,,,,,source:UK 2023,"Google rating: 4.8/5 (1,146 reviews)"
stonehenge,Stonehenge,,,historic-sites,memorial,,,,,,,,,,source:UK 2023,"Google rating: 4.5/5 (64,629 reviews)"
old-sarum,Old Sarum,,,historic-sites,memorial,,,,,,,,,,source:UK 2023,"Google rating: 4.5/5 (3,493 reviews)"
salisbury-cathedral,Salisbury Cathedral,,,historic-sites,medieval,,,,,,,,,,source:UK 2023,"Google rating: 4.7/5 (16,004 reviews)"
battle-abbey,Battle Abbey,,,historic-sites,memorial,,,,,,,,,,source:UK 2023,"Google rating: 4.6/5 (4,404 reviews)"
lyme-regis-museum,Lyme Regis Museum,,,attractions,museum,,,,,,,,,,source:UK 2023,"Google rating: 4.6/5 (1,026 reviews)"
imperial-war-museum,Imperial War Museum,,,attractions,museum,,,,,,,,,,source:UK 2023,"Google rating: 4.7/5 (30,336 reviews)"
victoria-and-albert-museum,Victoria and Albert Museum,,,attractions,gallery,,,,,,,,,,source:UK 2023,"Google rating: 4.7/5 (66,199 reviews)"
winchester-city-museum,Winchester City Museum,,,attractions,museum,,,,,,,,,,source:UK 2023,Google rating: 4.4/5 (345 reviews)
the-royal-logistic-corps-museum,The Royal Logistic Corps Museum,,,attractions,museum,,,,,,,,,,source:UK 2023,Google rating: 4.8/5 (267 reviews)
magna-carta-memorial,Magna Carta Memorial,,,historic-sites,memorial,,,,$$,,,,,,source:UK 2023,"Google rating: 4.5/5 (1,008 reviews)"
shakespeare-s-birthplace,Shakespeare's Birthplace,,,attractions,museum,,,,,,,,,,source:UK 2023,"Google rating: 4.5/5 (18,974 reviews)"
the-roman-baths,The Roman Baths,,,attractions,museum,,,,,,,,,,source:UK 2023,"Google rating: 4.6/5 (38,733 reviews)"
warwick-castle,Warwick Castle,,,historic-sites,castle,,,,,,,,,,source:UK 2023,"Google rating: 4.6/5 (25,737 reviews)"
blenheim-palace,Blenheim Palace,,,historic-sites,castle,,,,,,,,,,source:UK 2023,"Google rating: 4.6/5 (18,397 reviews)"
tewkesbury-battlefield,Tewkesbury Battlefield,,,attractions,landmark,,,,,,,,,,source:UK 2023,Google rating: 4.6/5 (296 reviews)
the-royal-navy-submarine-museum,The Royal Navy Submarine Museum,,,attractions,museum,,,,,,,,,,source:UK 2023,"Google rating: 4.7/5 (3,194 reviews)"
royal-armouries-fort-nelson,Royal Armouries: Fort Nelson,,,attractions,museum,,,,,,,,,,source:UK 2023,"Google rating: 4.7/5 (4,283 reviews)"
explosion-museum-of-naval-firepower,Explosion Museum of Naval Firepower,,,attractions,museum,,,,,,,,,,source:UK 2023,"Google rating: 4.5/5 (1,194 reviews)"
portsmouth-historic-dockyard,Portsmouth Historic Dockyard,,,attractions,museum,,,,,,,,,,source:UK 2023,"Google rating: 4.7/5 (16,664 reviews)"
five-hundred-acre-wood,Five Hundred Acre Wood,,,day-trips,countryside,,,,,,,,,,source:UK 2023,Google rating: 4.7/5 (24 reviews)
oxford-university-museum-of-natural-history,Oxford University Museum of Natural History,,,attractions,museum,,,,,,,,,,source:UK 2023,"Google rating: 4.8/5 (10,997 reviews)"
ashmolean-museum,Ashmolean Museum,,,attractions,museum,,,,,,,,,,source:UK 2023,"Google rating: 4.7/5 (11,506 reviews)"
castle-mound,Castle Mound,,,historic-sites,memorial,,,,,,,,,,source:UK 2023,Google rating: 4.3/5 (675 reviews)
scudamore-s-mill-lane-punting-station,Scudamore's Mill Lane Punting Station,,,attractions,landmark,,,,,,,,,,source:UK 2023,"Google rating: 4.4/5 (1,034 reviews)"
whipple-museum-of-the-history-of-science,Whipple Museum of the History of Science,,,attractions,museum,,,,,,,,,,source:UK 2023,Google rating: 4.6/5 (194 reviews)
museum-of-archaeology-and-anthropology,Museum of Archaeology and Anthropology,,,attractions,museum,,,,,,,,,,source:UK 2023,Google rating: 4.7/5 (412 reviews)
the-fitzwilliam-museum,The Fitzwilliam Museum,,,attractions,museum,,,,,,,,,,source:UK 2023,"Google rating: 4.7/5 (8,944 reviews)"
museum-of-classical-archaeology,Museum of Classical Archaeology,,,attractions,museum,,,,,,,,,,source:UK 2023,Google rating: 4.6/5 (101 reviews)
iwm-duxford,IWM Duxford,,,attractions,museum,,,,,,,,,,source:UK 2023,"Google rating: 4.8/5 (18,093 reviews)"
abbey-road-pedestrian-crossing,Abbey Road Pedestrian Crossing,,,attractions,landmark,,,,,,,,,,source:UK Music,"Google rating: 4.6/5 (1,524 reviews)"
dropped-pin,Dropped pin,,,attractions,landmark,,"Nearby address: Rick Roll, 154 Freston Rd, London W10 6TR",,,,,,,,source:UK Music,
